Wall time,Step,Value
1607156942.91616,2227,22.408611297607422
1607157011.826824,2231,26.56156349182129
1607157046.209047,2233,12.917621612548828
1607157132.092887,2238,21.018474578857422
1607157149.341757,2239,13.443461418151855
1607157183.709542,2241,11.615401268005371
1607157218.211948,2243,13.710293769836426
1607157235.338413,2244,27.144136428833008
1607157269.717874,2246,14.659975051879883
1607157304.145801,2248,11.591971397399902
1607157321.365068,2249,9.772351264953613
1607157442.76856,2256,16.081491470336914
1607157494.395363,2259,17.682497024536133
1607157580.65906,2264,14.944793701171875
1607157908.365377,2283,18.664989471435547
1607158080.351807,2293,16.5368709564209
1607158183.527383,2299,16.343719482421875
1607158234.988829,2302,19.118478775024414
1607158286.48704,2305,14.620206832885742
1607158337.97503,2308,24.8342227935791
1607158355.218023,2309,21.508468627929688
1607158372.409866,2310,24.923540115356445
1607158544.652802,2320,18.8126277923584
1607158561.898248,2321,13.394050598144531
1607158579.055876,2322,12.745819091796875
1607158613.46849,2324,10.232524871826172
1607158819.998408,2336,30.028039932250977
1607158837.300163,2337,14.721500396728516
1607158871.699912,2339,24.715232849121094
1607159009.336303,2347,20.71756362915039
1607159164.566009,2356,17.259109497070312
1607159458.196785,2373,13.823780059814453
1607159699.940589,2387,19.37156867980957
1607159768.988728,2391,20.795913696289062
1607159786.287181,2392,23.688222885131836
1607159820.858287,2394,20.009904861450195
1607159958.815877,2402,17.089157104492188
1607159993.290852,2404,17.6545352935791
1607160062.39828,2408,16.936317443847656
1607160234.768382,2418,18.455364227294922
1607160372.650607,2426,10.898089408874512
1607160389.898701,2427,13.568520545959473
1607160579.435686,2438,14.645145416259766
1607160717.578361,2446,13.075629234313965
1607160821.038344,2452,16.80974578857422
1607160838.168847,2453,19.540056228637695
1607160872.53958,2455,16.55046272277832
1607160906.984545,2457,24.154144287109375
1607160993.448872,2462,16.317943572998047
1607161322.754741,2481,25.037620544433594
1607161426.480165,2487,14.592455863952637
1607161443.696,2488,22.303804397583008
1607161616.174408,2498,14.172052383422852
1607161650.723747,2500,16.115440368652344
1607161719.595326,2504,22.418601989746094
1607161736.79854,2505,15.924254417419434
1607161926.288041,2516,14.830910682678223
1607161977.911783,2519,18.50153160095215
1607162081.307462,2525,17.77914810180664
1607162167.42333,2530,16.53196144104004
1607162201.903132,2532,15.730328559875488
1607162236.360913,2534,8.635613441467285
1607162270.860702,2536,18.554420471191406
